order,stim1,stim2,question,relation
12,2,4,4,4
2,4,3,2,2
4,2,4,4,4
5,4,2,1,2
11,4,2,2,2
10,2,4,2,4
9,4,3,1,2
6,4,2,3,2
1,3,2,3,3
10,4,1,1,3
4,2,3,2,1
7,3,4,4,4
8,1,4,4,1
4,2,3,3,1
10,1,4,1,1
8,1,4,2,1
8,3,4,2,4
12,4,1,2,3
3,2,3,3,1
1,4,3,2,2
1,3,2,1,3
7,4,1,1,3
3,4,3,3,2
7,3,4,4,4
2,3,2,1,3
5,3,2,3,3
3,4,3,2,2
9,3,4,4,4
12,2,4,4,4
6,4,2,3,2
11,1,4,1,1
5,4,2,2,2
1,4,3,2,2
6,3,2,4,3
5,4,2,2,2
2,3,4,4,4
6,2,4,2,4
11,2,4,4,4
9,1,4,3,1
8,1,4,1,1
11,4,1,4,3
12,4,1,3,3
7,1,4,3,1
10,4,1,2,3
2,2,3,3,1
4,2,4,4,4
3,2,3,1,1
9,4,1,3,3
3,3,2,3,3
1,3,2,1,3
5,2,3,2,1
2,2,3,1,1
7,4,1,4,3
12,4,2,1,2
10,1,4,3,1
9,1,4,1,1
5,4,2,2,2
12,1,4,1,1
5,3,2,1,3
5,4,2,2,2
2,3,2,1,3
6,2,3,1,1
2,3,4,2,4
4,2,4,2,4
1,4,3,2,2
8,3,4,1,4
3,3,2,3,3
11,1,4,1,1
7,4,1,4,3
4,4,2,1,2
12,4,2,3,2
6,2,3,1,1
4,4,2,1,2
11,2,4,4,4
6,4,2,2,2
10,2,4,4,4
1,3,2,2,3
3,4,3,4,2
8,3,4,4,4
12,4,2,1,2
11,2,4,1,4
3,2,3,2,1
2,3,2,3,3
8,1,4,3,1
10,2,4,4,4
10,2,4,2,4
1,3,2,4,3
6,4,2,2,2
8,3,4,4,4
9,1,4,1,1
4,2,3,1,1
7,4,1,3,3
7,3,4,4,4
9,4,3,2,2
9,4,1,1,3
11,2,4,3,4
11,4,1,3,3
10,1,4,3,1
6,2,4,4,4
9,3,4,4,4
4,3,2,4,3
7,3,4,4,4
10,4,2,2,2
12,4,2,1,2
2,3,4,2,4
9,1,4,2,1
3,3,4,3,4
8,4,3,2,2
10,2,4,4,4
7,4,3,2,2
6,4,2,2,2
4,4,2,2,2
6,2,3,3,1
7,1,4,2,1
3,3,2,4,3
4,2,4,2,4
12,1,4,2,1
1,3,2,3,3
10,4,1,2,3
1,3,2,3,3
12,1,4,4,1
11,4,2,3,2
11,2,4,4,4
5,4,2,2,2
4,3,2,2,3
8,1,4,2,1
3,3,4,1,4
11,4,2,4,2
8,1,4,4,1
2,2,3,1,1
1,4,3,1,2
1,4,3,1,2
3,3,2,3,3
7,4,1,3,3
12,4,1,3,3
5,2,3,1,1
9,3,4,4,4
9,4,1,3,3
5,2,4,1,4
